               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1158,              0.0162,                   0,          0.00034483,            0.094737,           0.0002074,          6.9135e-05,             0.10906,            0.009941,                   0,            0.070857,           0.0032381,           0.0032381
                   1,             0.11462,            0.015998,                   0,          0.00038314,             0.10526,          0.00025803,          7.9002e-05,             0.10855,           0.0098762,                   0,            0.040671,           0.0063856,           0.0063856
                   2,             0.11224,             0.01605,                   0,          0.00045977,             0.12632,          0.00030781,           7.833e-05,             0.10828,           0.0099202,                   0,            0.010297,           0.0093444,           0.0093444
                   3,             0.11102,            0.016109,                   0,          0.00011494,            0.031579,          5.9579e-05,          5.9579e-06,             0.14895,                1.28,                   0,           0.0091514,           0.0091514,           0.0091514
                   4,             0.10952,            0.016122,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0091514,           0.0091514,           0.0091514
                   5,             0.10633,            0.016325,                   0,          0.00012107,            0.010526,          5.5676e-05,          5.5676e-06,                 nan,                 nan,                   0,           0.0088686,           0.0088686,           0.0088686
                   6,              0.1021,            0.016323,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0085857,           0.0085857,           0.0085857
                   7,            0.099497,            0.017382,                   0,          0.00040383,            0.073684,           0.0004219,          7.2284e-05,                 nan,                 nan,                   0,           0.0083029,           0.0083029,           0.0083029
                   8,            0.098374,            0.016903,                   0,          0.00064882,             0.16842,             0.00045,          0.00010167,             0.11341,           0.0083237,                   0,             0.00802,             0.00802,             0.00802
                   9,             0.09644,            0.016774,                   0,            0.016111,            0.010526,          0.00062948,          0.00012897,             0.12829,           0.0060751,                   0,           0.0077371,           0.0077371,           0.0077371
                  10,            0.095444,            0.016666,                   0,          0.00091954,             0.25263,          0.00077313,          0.00016732,             0.08913,            0.010894,                   0,           0.0074543,           0.0074543,           0.0074543
                  11,            0.095352,            0.017524,                   0,           0.0010345,             0.28421,           0.0027006,          0.00041056,            0.089314,            0.010567,                   0,           0.0071714,           0.0071714,           0.0071714
                  12,            0.093936,            0.016142,                   0,           0.0011877,             0.32632,           0.0019268,          0.00042539,            0.087384,            0.010787,                   0,           0.0068886,           0.0068886,           0.0068886
                  13,            0.093135,            0.016732,                   0,           0.0013793,             0.37895,           0.0029129,          0.00099818,            0.085201,            0.011123,                   0,           0.0066057,           0.0066057,           0.0066057
                  14,            0.091836,            0.017381,                   0,           0.0016858,             0.46316,           0.0059291,           0.0015187,             0.08483,            0.011123,                   0,           0.0063229,           0.0063229,           0.0063229
                  15,            0.088957,            0.017224,                   0,           0.0022222,             0.61053,             0.01207,            0.002817,            0.079061,             0.01182,                   0,             0.00604,             0.00604,             0.00604
                  16,            0.087246,            0.017965,                   0,           0.0016858,             0.46316,            0.012052,           0.0035079,             0.08345,            0.011939,                   0,           0.0057571,           0.0057571,           0.0057571
                  17,             0.08401,            0.017332,                   0,           0.0016092,             0.44211,            0.002493,          0.00067211,            0.080238,            0.014269,                   0,           0.0054743,           0.0054743,           0.0054743
                  18,            0.082214,             0.01832,                   0,           0.0024312,             0.65263,            0.021674,           0.0052473,            0.071488,            0.012984,                   0,           0.0051914,           0.0051914,           0.0051914
                  19,            0.079262,            0.018911,                   0,           0.0024904,             0.68421,            0.026803,           0.0077137,            0.070616,            0.012249,                   0,           0.0049086,           0.0049086,           0.0049086
                  20,            0.077773,            0.017907,                   0,           0.0025465,             0.68421,            0.074247,            0.020028,            0.072058,            0.011678,                   0,           0.0046257,           0.0046257,           0.0046257
                  21,            0.074756,            0.018846,                   0,             0.49319,            0.082059,             0.12792,            0.030226,            0.070043,             0.01091,                   0,           0.0043429,           0.0043429,           0.0043429
                  22,            0.074409,            0.017107,                   0,             0.43829,             0.15789,             0.20847,              0.0601,            0.066693,            0.010916,                   0,             0.00406,             0.00406,             0.00406
                  23,            0.072834,            0.017472,                   0,               0.354,             0.28421,             0.22343,             0.06305,            0.064355,            0.011382,                   0,           0.0037771,           0.0037771,           0.0037771
                  24,             0.07286,            0.016732,                   0,             0.31403,             0.29395,             0.24059,            0.072511,            0.060081,            0.010892,                   0,           0.0034943,           0.0034943,           0.0034943
                  25,            0.070583,            0.016456,                   0,              0.2975,             0.27368,              0.2317,            0.072071,            0.061841,            0.011013,                   0,           0.0032114,           0.0032114,           0.0032114
                  26,            0.068248,            0.016246,                   0,             0.37878,             0.39154,             0.30176,            0.090356,            0.060436,            0.010591,                   0,           0.0029286,           0.0029286,           0.0029286
                  27,            0.066611,            0.016244,                   0,             0.30743,             0.31579,             0.29009,            0.096431,            0.060209,            0.010028,                   0,           0.0026457,           0.0026457,           0.0026457
                  28,            0.066174,            0.016606,                   0,             0.31439,             0.44211,             0.30737,             0.10694,             0.05807,            0.010128,                   0,           0.0023629,           0.0023629,           0.0023629
                  29,            0.064423,            0.016996,                   0,             0.30227,             0.45263,             0.32907,              0.1284,            0.055847,           0.0099114,                   0,             0.00208,             0.00208,             0.00208
                  30,            0.064294,            0.015211,                   0,             0.37158,             0.41053,             0.36725,             0.13705,            0.054681,            0.010776,                   0,           0.0017971,           0.0017971,           0.0017971
                  31,            0.061864,            0.015849,                   0,             0.37762,             0.45263,              0.3708,             0.14568,            0.055404,           0.0095823,                   0,           0.0015143,           0.0015143,           0.0015143
                  32,            0.060164,            0.015943,                   0,             0.51208,             0.45295,             0.44086,             0.16536,             0.06095,           0.0091896,                   0,           0.0012314,           0.0012314,           0.0012314
                  33,            0.061099,            0.016122,                   0,             0.49791,             0.42105,             0.44176,             0.17546,            0.058635,           0.0092656,                   0,          0.00094857,          0.00094857,          0.00094857
                  34,            0.060227,            0.016638,                   0,             0.54285,             0.54737,             0.51503,             0.20574,             0.05492,           0.0096587,                   0,          0.00066571,          0.00066571,          0.00066571
