               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1158,              0.0162,                   0,          0.00034483,            0.094737,           0.0002074,          6.9135e-05,             0.10906,            0.009941,                   0,            0.070857,           0.0032381,           0.0032381
                   1,             0.11462,            0.016014,                   0,          0.00038314,             0.10526,          0.00024158,          7.1079e-05,             0.10851,           0.0098577,                   0,            0.040713,           0.0064269,           0.0064269
                   2,             0.11123,            0.016106,                   0,          0.00049808,             0.13684,          0.00031327,          9.2607e-05,             0.10797,            0.009952,                   0,            0.010421,            0.009469,            0.009469
                   3,             0.11046,            0.016056,                   0,          0.00049808,             0.13684,           0.0003132,          8.2662e-05,             0.12414,              0.2781,                   0,             0.00934,             0.00934,             0.00934
                   4,             0.10941,            0.016096,                   0,          0.00048926,            0.010526,          0.00029297,          5.4997e-05,                 nan,                 nan,                   0,             0.00934,             0.00934,             0.00934
                   5,             0.10659,             0.01614,                   0,          0.00068966,             0.18947,          0.00041377,          8.5225e-05,                 nan,                 nan,                   0,             0.00912,             0.00912,             0.00912
                   6,             0.10416,            0.015966,                   0,          0.00076877,             0.18947,          0.00053691,          0.00011874,                 nan,                 nan,                   0,              0.0089,              0.0089,              0.0089
                   7,             0.10118,             0.01704,                   0,          0.00076042,             0.18947,          0.00052108,          0.00014017,                 nan,                 nan,                   0,             0.00868,             0.00868,             0.00868
                   8,             0.10006,            0.016516,                   0,          0.00076737,             0.21053,          0.00052118,          0.00015628,             0.10359,           0.0096541,                   0,             0.00846,             0.00846,             0.00846
                   9,             0.09842,            0.016391,                   0,          0.00059263,             0.15789,          0.00039941,          9.6581e-05,            0.098377,           0.0098753,                   0,             0.00824,             0.00824,             0.00824
                  10,            0.096892,            0.016374,                   0,          0.00076628,             0.21053,          0.00062291,          0.00012258,            0.092994,            0.010487,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.097666,            0.016975,                   0,          0.00088123,             0.24211,          0.00068661,          0.00018034,            0.092278,            0.010332,                   0,              0.0078,              0.0078,              0.0078
                  12,            0.096211,            0.015716,                   0,          0.00084291,             0.23158,           0.0007474,           0.0001867,            0.091734,            0.010296,                   0,             0.00758,             0.00758,             0.00758
                  13,            0.096505,            0.016245,                   0,          0.00078697,             0.21053,           0.0006707,          0.00017373,            0.092573,            0.010252,                   0,             0.00736,             0.00736,             0.00736
                  14,            0.097133,            0.016577,                   0,          0.00082115,             0.22105,          0.00076967,           0.0001851,            0.090857,            0.010558,                   0,             0.00714,             0.00714,             0.00714
                  15,            0.096314,            0.016091,                   0,          0.00086106,             0.23158,          0.00080173,          0.00018783,             0.09105,            0.010485,                   0,             0.00692,             0.00692,             0.00692
                  16,            0.095445,            0.016713,                   0,          0.00088123,             0.24211,          0.00094516,          0.00022032,            0.090679,             0.01055,                   0,              0.0067,              0.0067,              0.0067
                  17,            0.094629,            0.015965,                   0,          0.00069029,             0.18947,          0.00059873,          0.00014904,            0.091477,            0.010431,                   0,             0.00648,             0.00648,             0.00648
                  18,            0.094544,            0.016666,                   0,          0.00081477,             0.22105,          0.00069822,          0.00020732,            0.090946,            0.010517,                   0,             0.00626,             0.00626,             0.00626
